AIRLINE_ENGLISH,AIRLINE_KOREAN,AIRPORT,AIR_FLN,ARRIVED_ENG,ARRIVED_KOR,BAGGAGE_CLAIM,BOARDING_ENG,BOARDING_KOR,CITY,ETD,FLIGHT_DATE,GATE,IO,LINE,LINE_CODE,RMK_ENG,RMK_KOR,STD,UFID
JEJU AIR,제주항공,CJJ,7C802,CHEONGJU,청주,1,JEJU,제주,CJU,1032,20230430,,I,국내,D,ARRIVED   ,도착,1040,20230430CJJI7C802
JEJU AIR,제주항공,CJJ,7C850,CHEONGJU,청주,1,JEJU,제주,CJU,2340,20230430,,I,국내,D,DELAY,지연,2320,20230430CJJI7C850
JEJU AIR,제주항공,CJJ,7C852,CHEONGJU,청주,1,JEJU,제주,CJU,0911,20230430,,I,국내,D,ARRIVED   ,도착,0920,20230430CJJI7C852
JEJU AIR,제주항공,CJJ,7C854,CHEONGJU,청주,1,JEJU,제주,CJU,1828,20230430,,I,국내,D,ARRIVED   ,도착,1840,20230430CJJI7C854
JEJU AIR,제주항공,CJJ,7C856,CHEONGJU,청주,1,JEJU,제주,CJU,1813,20230430,,I,국내,D,ARRIVED   ,도착,1810,20230430CJJI7C856
KOREAN AIR,대한항공,CJJ,KE1704,CHEONGJU,청주,1,JEJU,제주,CJU,0759,20230430,,I,국내,D,ARRIVED   ,도착,0810,20230430CJJIKE1704
KOREAN AIR,대한항공,CJJ,KE1712,CHEONGJU,청주,1,JEJU,제주,CJU,1317,20230430,,I,국내,D,ARRIVED   ,도착,1320,20230430CJJIKE1712
KOREAN AIR,대한항공,CJJ,KE1722,CHEONGJU,청주,2,JEJU,제주,CJU,1627,20230430,,I,국내,D,ARRIVED   ,도착,1630,20230430CJJIKE1722
JINAIR,진에어,CJJ,LJ552,CHEONGJU,청주,1,JEJU,제주,CJU,1007,20230430,,I,국내,D,ARRIVED   ,도착,1020,20230430CJJILJ552
JINAIR,진에어,CJJ,LJ554,CHEONGJU,청주,2,JEJU,제주,CJU,1516,20230430,,I,국내,D,ARRIVED   ,도착,1520,20230430CJJILJ554
JINAIR,진에어,CJJ,LJ558,CHEONGJU,청주,2,JEJU,제주,CJU,1832,20230430,,I,국내,D,ARRIVED   ,도착,1835,20230430CJJILJ558
JINAIR,진에어,CJJ,LJ560,CHEONGJU,청주,,JEJU,제주,CJU,2220,20230430,,I,국내,D,,,2220,20230430CJJILJ560
JINAIR,진에어,CJJ,LJ582,CHEONGJU,청주,1,JEJU,제주,CJU,1027,20230430,,I,국내,D,ARRIVED   ,도착,1035,20230430CJJILJ582
JINAIR,진에어,CJJ,LJ584,CHEONGJU,청주,1,JEJU,제주,CJU,1146,20230430,,I,국내,D,ARRIVED   ,도착,1150,20230430CJJILJ584
JINAIR,진에어,CJJ,LJ586,CHEONGJU,청주,1,JEJU,제주,CJU,1636,20230430,,I,국내,D,ARRIVED   ,도착,1635,20230430CJJILJ586
ASIANA AIRLINE,아시아나항공,CJJ,OZ8232,CHEONGJU,청주,1,JEJU,제주,CJU,1213,20230430,,I,국내,D,ARRIVED   ,도착,1220,20230430CJJIOZ8232
ASIANA AIRLINE,아시아나항공,CJJ,OZ8234,CHEONGJU,청주,1,JEJU,제주,CJU,1617,20230430,,I,국내,D,ARRIVED   ,도착,1620,20230430CJJIOZ8234
ASIANA AIRLINE,아시아나항공,CJJ,OZ8236,CHEONGJU,청주,1,JEJU,제주,CJU,2140,20230430,,I,국내,D,ARRIVED   ,도착,2145,20230430CJJIOZ8236
AERO K AIRLINES,에어로케이항공,CJJ,RF602,CHEONGJU,청주,1,JEJU,제주,CJU,1117,20230430,,I,국내,D,ARRIVED   ,도착,1125,20230430CJJIRF602
AERO K AIRLINES,에어로케이항공,CJJ,RF610,CHEONGJU,청주,1,JEJU,제주,CJU,1742,20230430,,I,국내,D,ARRIVED   ,도착,1745,20230430CJJIRF610
AERO K AIRLINES,에어로케이항공,CJJ,RF614,CHEONGJU,청주,1,JEJU,제주,CJU,2229,20230430,,I,국내,D,ARRIVED   ,도착,2235,20230430CJJIRF614
T'WAY AIR CO.LTD,티웨이항공,CJJ,TW182,CHEONGJU,청주,1,DANANG,다낭,DAD,0711,20230430,,I,국제,I,ARRIVED   ,도착,0755,20230430CJJITW182
T'WAY AIR CO.LTD,티웨이항공,CJJ,TW184,CHEONGJU,청주,2,BANGKOK/DONMUANG,방콕/방콕/돈므앙,DMK,0717,20230430,,I,국제,I,ARRIVED   ,도착,0740,20230430CJJITW184
